City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Pozo Colorado,PY,2022-08-16 19:30:46,-23.4923,-58.7972,68.86,85,100,3.89,overcast clouds
94,Kodinsk,RU,2022-08-16 19:30:46,58.6881,99.1844,50.41,98,100,5.53,overcast clouds
95,Kinel-Cherkassy,RU,2022-08-16 19:30:46,53.4706,51.4743,63.28,55,79,8.16,broken clouds
96,Cerrito,CO,2022-08-16 19:30:46,6.8432,-72.694,61.03,79,75,0.54,broken clouds
97,Tasiilaq,GL,2022-08-16 19:30:47,65.6145,-37.6368,46.56,74,100,10.18,overcast clouds
98,Coihaique,CL,2022-08-16 19:30:47,-45.5752,-72.0662,42.75,56,75,8.05,broken clouds
99,Churapcha,RU,2022-08-16 19:30:47,62.0025,132.4325,55.94,87,100,4.76,overcast clouds
100,Plyussa,RU,2022-08-16 19:30:48,58.4308,29.3654,67.57,75,13,5.03,few clouds
101,Tuatapere,NZ,2022-08-16 19:30:48,-46.1333,167.6833,48.72,95,100,4.76,overcast clouds
102,Bambous Virieux,MU,2022-08-16 19:30:48,-20.3428,57.7575,68.25,94,40,3.44,light rain
103,Luyang,CN,2022-08-16 19:30:49,27.6239,110.0989,78.66,85,57,3.47,broken clouds
104,Puerto Carreno,CO,2022-08-16 19:30:49,6.189,-67.4859,89.04,58,28,8.3,scattered clouds
105,Jaisinghnagar,IN,2022-08-16 19:30:49,23.7,81.3833,73.53,92,4,6.2,clear sky
106,Necochea,AR,2022-08-16 19:30:05,-38.5473,-58.7368,50.85,58,74,12.24,broken clouds
107,Progreso,MX,2022-08-16 19:30:50,21.2833,-89.6667,89.71,58,4,14.85,clear sky
108,Ostrovnoy,RU,2022-08-16 19:30:50,68.0531,39.5131,60.78,85,69,13.98,broken clouds
109,Mildura,AU,2022-08-16 19:30:50,-34.2,142.15,45.07,90,93,5.79,overcast clouds
110,Nancha,CN,2022-08-16 19:30:50,47.1333,129.2667,58.51,89,0,2.1,clear sky
111,Vanimo,PG,2022-08-16 19:30:51,-2.6741,141.3028,76.48,88,16,2.53,few clouds
112,Castro,BR,2022-08-16 19:30:52,-24.7911,-50.0119,59.72,80,100,8.79,overcast clouds
113,Yoichi,JP,2022-08-16 19:30:53,43.2039,140.7703,69.01,87,82,6.31,broken clouds
114,Saldanha,ZA,2022-08-16 19:30:56,-33.0117,17.9442,57.25,84,100,17.07,overcast clouds
115,Chuy,UY,2022-08-16 19:30:58,-33.6971,-53.4616,56.25,60,0,7.87,clear sky
116,Mahebourg,MU,2022-08-16 19:30:59,-20.4081,57.7,68.29,94,40,3.44,scattered clouds
117,Busselton,AU,2022-08-16 19:30:59,-33.65,115.3333,52.74,79,99,21.83,light rain
118,Atuona,PF,2022-08-16 19:30:59,-9.8,-139.0333,77.2,72,13,20.29,few clouds
119,Loubomo,CG,2022-08-16 19:31:01,-4.1997,12.6739,72.01,70,99,7.47,overcast clouds
120,Upernavik,GL,2022-08-16 19:31:01,72.7868,-56.1549,41.65,95,100,0.94,light rain
121,Isangel,VU,2022-08-16 19:31:02,-19.55,169.2667,77.47,87,90,11.32,heavy intensity rain
122,Paramonga,PE,2022-08-16 19:31:02,-10.6667,-77.8333,65.32,73,27,12.53,scattered clouds
123,Calama,CL,2022-08-16 19:31:02,-22.4667,-68.9333,70.29,6,0,21.85,clear sky
