City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Sao Raimundo Nonato,BR,71.67,clear sky,-9.0153,-42.6994,Real Hotel
490,Tevaitoa,PF,77.81,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
493,Anadyr,RU,72.1,clear sky,64.75,177.4833,Отке17.ру — жильё для командированных
495,Catio,GW,77.54,light rain,11.2833,-15.25,Pausada Morabedja
498,Bull Savanna,JM,77.22,broken clouds,17.8868,-77.5902,Big Red's
514,Mantua,IT,76.24,broken clouds,45.1667,10.7833,Hotel la Favorita
520,Shorapur,IN,74.43,overcast clouds,16.5167,76.75,Maheshwari Bhawan
523,Ayame,CI,70.5,broken clouds,5.6083,-3.1563,Hotel Bossan
531,Riachao,BR,72.63,clear sky,-7.3619,-46.6172,Pousada Nordestina
532,Mareeba,AU,74.48,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
533,Tubmanburg,LR,72.86,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
534,Mount Isa,AU,78.57,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
535,Manaus,BR,79.29,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
536,Faanui,PF,78.3,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
537,Kismayo,SO,74.93,overcast clouds,-0.3582,42.5454,Agan-Hotel
539,Sao Felix Do Xingu,BR,74.07,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
540,Terney,RU,77.9,broken clouds,45.0503,136.6092,"Hotel ""Ternay"""
541,Olinda,BR,73.85,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
546,Monaco-Ville,FR,77.04,broken clouds,43.731,7.4248,Le Méridien Beach Plaza
547,Invermere,CA,74.35,overcast clouds,50.5167,-116.0354,Copper Point Resort
549,Jalu,LY,77.41,clear sky,29.0331,21.5482,صاحبة الفخامة
551,Guarapari,BR,73.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
555,Altamira,BR,77.05,broken clouds,-3.2033,-52.2064,Requinte Hotel
558,Bagepalli,IN,73.76,overcast clouds,13.7847,77.7931,Srinivasa Lodge
560,Chaihe,CN,74.55,overcast clouds,44.7667,129.7,Holiday Inn Suifenhe
561,Bubaque,GW,80.8,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
562,Grimshaw,CA,68.92,clear sky,56.1834,-117.6027,Coast Grimshaw Hotel & Suites
563,Viransehir,TR,76.75,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
564,Fougamou,GA,69.31,broken clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
567,Dali,CN,76.15,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
574,Fairbanks,US,68.02,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
575,Tokmak,UA,74.23,few clouds,47.2514,35.7058,Дом приезжих
576,Katobu,ID,79.52,light rain,-4.9408,122.5276,La Ode Husein
577,Cabedelo,BR,73.49,few clouds,-6.9811,-34.8339,Pousada Camboinha
578,Takoradi,GH,72.36,scattered clouds,4.8845,-1.7554,Raybow International Hotel
583,Cairns,AU,79.11,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
585,Warwick,US,73.35,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
586,Saint Anthony,US,75.7,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
587,Benicarlo,ES,79.9,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
592,Oussouye,SN,79.14,overcast clouds,12.485,-16.5469,Auberge du Routard
593,Champerico,GT,78.55,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
600,Salinopolis,BR,78.3,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
603,Palafrugell,ES,75.42,scattered clouds,41.9174,3.1631,Hotel La Torre
609,Areia Branca,BR,73.67,few clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
613,Tongliao,CN,79.92,clear sky,43.6125,122.2653,Meirujia Hotel
614,Bundaberg,AU,69.22,scattered clouds,-24.85,152.35,Takalvan Motel
615,Coahuayana,MX,79.41,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
621,Bonthe,SL,75.94,moderate rain,7.5264,-12.505,Bonthe Holiday Village
622,Koumac,NC,72.82,clear sky,-20.5667,164.2833,Le Monitel
624,Charters Towers,AU,74.44,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
625,Half Moon Bay,US,73.58,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
628,Sexsmith,CA,69.51,clear sky,55.35,-118.786,Sexsmith Heritage Park
631,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
632,Pouebo,NC,72.73,clear sky,-20.4,164.5667,RIVÂT LODGE
633,Chincholi,IN,74.95,overcast clouds,17.4667,77.4333,Friends men's were
635,Chuncheng,CN,79.74,overcast clouds,22.1731,111.7886,7Days Inn Yangjiang Yangchun Bus Terminal
638,Bowen,AU,71.76,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
639,Williams Lake,CA,71.49,light rain,52.1415,-122.1445,Stampeder Motel
